,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,field_fate5,field_fate6,field_fate7,field_fate_eq,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
168,10238.0,RUTE,2019,29.75869,-93.12238,,,none,,,63.0,,False,,44.0,0.0,0.0,,N,N,,,19.0,6.0,H,H,H,H,H,H,H,False,,,H,H,19.0,19.0,6.0,6.0,0,63,63,LETE,,1,0.0,True,True,False,48.0,63,63,63,63,,,5,15.0,,3E,"2C, 1E",42|48|54|57|63,"3E|3E|3E|3E|2C, 1E",0|6|6|3|6,,,
169,10239.0,RUTE,2019,29.7587,-93.12267,,,none,,,50.0,,False,,34.0,4.0,2.0,,N,N,,,16.0,6.0,H,H,H,H,H,H,H,False,,,H,H,20.0,20.0,4.0,4.0,4,54,54,CONI,,1,0.0,True,True,False,42.0,50,50,50,50,,,3,12.0,,2E,"2C, 4d",42|48|54,"2E|2E|2C, 4d",0|6|4,,,3 June- off the nest scrape but still nearby. some pinning of the primaries has begun but still small with an egg tooth. photos by KBB
170,10240.0,RUTW,2019,29.77064,-93.18053,30.0,40.0,none,C,45.0,45.0,0.0,True,,26.0,0.0,0.0,,Y,Y,N,D,9.0,6.0,U,U,U-F,U-F,U,U-F,U,True,D,D,D,D,9.0,9.0,6.0,6.0,6,35,35,LETE,1.0,7,0.0,True,True,False,29.0,29,29,35,35,,,2,6.0,0.0,3E,0E,29|35,3E|0E,0|6,,same camera as 241. coyote depredation,"9 May- SB deployed camera on nest. 15 May cattle disturbance, 0E. 24 May- egg shell fragment in cup, but otherwise empty KBB"
171,10241.0,RUTW,2019,29.77065,-93.18056,30.0,40.0,none,,50.0,51.0,1.0,False,,32.0,1.0,0.0,0.02,Y,Y,N,D,20.0,4.0,H,H,H,H,H,H,H,False,H,H,H,H,21.0,22.0,4.0,4.0,2,53,53,LETE,0.0,1,1.0,False,False,False,29.0,51,51,51,51,,,7,24.0,0.0,hatch?,chick behavior,29|35|40|44|49|51|53,2E|3E|3E|3E|3E|hatch?|chick behavior,0|6|5|4|5|2|2,penult should have been deleted,,"6/2 chick behavior; 9 May- SB deployed camera on nest. 2 June- KBB and SB observed adults throwing poop, hovering, aggressive indicating chicks. Check camera for more evidence. "
172,10242.0,RUTW,2019,29.76763,-93.1642,5.0,5.0,none,C,49.0,49.0,0.0,True,,30.0,0.0,6.0,,Y,Y,N,D,10.0,5.0,U,U,U-F,U-F,U,U-F,U,True,D,D,D,D,10.0,10.0,5.0,11.0,5,40,40,LETE,1.0,7,0.0,True,True,False,29.0,35,35,40,40,,,3,11.0,0.0,?,0E,29|35|40,1E|?|0E,0|6|5,other nests observed that day-penult should be BON,evidence of camera on nest? coyote on night of 20 May - ,9 May- SB deployed camera on nest. 15 May SB could not find; looks like something was digging in area around stick
173,10245.0,RUTW,2019,29.76739,-93.16364,10.0,15.0,none,,50.0,50.0,0.0,True,,22.0,0.0,0.0,,N,N,,,29.0,2.0,S,S,S,S,S,S,S,False,,,S,S,29.0,29.0,2.0,2.0,2,51,51,WIPL,0.0,0,0.0,False,True,False,40.0,49,49,51,51,,,3,11.0,0.0,2E,fail,40|49|51,2E|2E|fail,0|9|2,,,"5/29 - adults very agitated in area, fake brooding, circling; no starring yet 5/31- nest was lost to an afternoon storm that brought a surge which overwashed the nest. adults were observed selecting a new nest site and scraping. KBB"
174,10246.0,RUTW,2019,29.77001,-93.17696,20.0,30.0,none,,,,,True,,,,0.0,,N,N,,,,5.0,U,U,U,U,U,U,U,False,,,U,U,,,5.0,5.0,5,49,49,LETE,,0,0.0,False,True,True,35.0,44,44,49,49,,,4,14.0,,3E,not f,35|40|44|49,3E|3E|3E|not f,0|5|4|5,,,
175,10247.0,RUTW,2019,29.77049,-93.17966,5.0,,none,,,,,True,,,,0.0,,N,N,,,,5.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,5.0,5.0,5,49,49,LETE,,0,0.0,False,True,False,35.0,44,44,49,49,,,4,14.0,,3E,0E,35|40|44|49,3E|3E|3E|0E,0|5|4|5,,,"5/29 tire tracks all through area, pieces of egg shell"
176,10248.0,RUTW,2019,29.77052,-93.17986,,,none,,63.0,63.0,0.0,True,,35.0,0.0,0.0,,N,N,,,18.0,4.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,18.0,18.0,4.0,4.0,4,53,53,WIPL,1.0,0,0.0,False,True,False,35.0,49,49,53,53,,,5,18.0,0.0,3E,fail,35|40|44|49|53,1E|3E|3E|3E|fail,0|5|4|5|4,,,"5/29 tire tracks through area but nest still there. 6/2 run over by vehicle. clear evidence with crushed bits of wooden nest stick, gooey egg yolk, and tire track through the nest"
177,10249.0,RUTW,2019,29.77058,-93.17997,,,none,,,,,True,,,,0.0,,N,N,,,,9.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,9.0,9.0,9,49,49,LETE,,0,0.0,False,True,False,35.0,40,40,49,49,,,3,14.0,,3E,0E,35|40|49,3E|3E|0E,0|5|9,,,5/29 tire tracks through area (nest near 247). vehicle possibly on camera (from nest 241)
178,10250.0,RUTW,2019,29.76987,-93.17583,,,none,,,,,True,,,,1.0,,N,N,,,,4.0,U,U,U,U,U,U,U,False,,,U,U,,,5.0,5.0,5,40,40,LETE,,0,0.0,False,True,True,35.0,35,35,40,40,,,2,5.0,,2E,not f,35|40,2E|not f,0|5,,,
179,10251.0,RUTW,2019,29.76972,-93.17542,,,none,,,,,True,,,,0.0,,N,N,,,,5.0,U,U,U,U,U,U,U,False,,,U,U,,,5.0,5.0,5,40,40,LETE,,0,0.0,False,True,True,35.0,35,35,40,40,,,2,5.0,,3E,not f,35|40,3E|not f,0|5,,,
180,10252.0,RUTW,2019,29.76869,-93.16971,,,none,,49.0,53.0,4.0,False,,37.0,4.0,0.0,,N,N,,,20.0,4.0,H,H,H,H,H,H,H,False,,,H,H,16.0,20.0,4.0,4.0,0,53,53,CONI,0.0,1,0.0,True,True,False,40.0,53,53,53,53,,,4,13.0,1.0,starr,1C,40|44|49|53,2E|not f|starr|1C,0|4|5|4,,,"no starring yet but heard chicks inside 5/29, SB check for photo for chick age?"
181,10253.0,RUTW,2019,29.76847,-93.1687,,,none,,58.0,58.0,0.0,True,,39.0,,0.0,,N,N,,,,4.0,U,U,U,U,U,U,U,False,,,U,U,18.0,18.0,4.0,4.0,4,57,57,LETE,0.0,0,0.0,False,True,True,36.0,53,53,57,57,,,6,21.0,0.0,1E,empty,35|40|44|49|53|57,1E|1E|1E|1E|1E|empty,0|5|4|5|4|4,,,
182,10254.0,RUTW,2019,29.7683,-93.16759,,,none,,50.0,50.0,0.0,True,,31.0,0.0,0.0,,N,N,,,22.0,4.0,Ca,Ca,Ca,Ca,Ca,Ca,Ca,False,,,Ca,Ca,22.0,22.0,4.0,4.0,4,53,53,LETE,0.0,0,0.0,False,True,False,35.0,49,49,53,53,,,5,18.0,0.0,2E,fail,35|40|44|49|53,2E|2E|2E|2E|fail,0|5|4|5|4,,,
183,10255.0,RUTW,2019,29.7683,-93.1676,,,none,,54.0,54.0,0.0,True,,35.0,3.0,2.0,,Y?,Y?,Y,,19.0,1.0,H,H,H,H,H,H,H,False,H,H,H,H,22.0,22.0,3.0,3.0,3,57,57,LETE,0.0,1,1.0,False,False,False,35.0,54,54,54,54,,,6,22.0,0.0,3E,empty,35|40|44|49|53|57,2E|3E|3E|3E|3E|empty,0|5|4|5|4|3,missing camera data; don't actually know if hatched,notes say there's a camera,"7 June- KBB had chick behavior, lots of diving and angry adults pooping in the area. Hatch likely before the storm hit on June 5."
184,10256.0,RUTW,2019,29.76784,-93.16527,,,none,C,50.0,50.0,0.0,True,,31.0,0.0,0.0,,Y,Y,N,D,22.0,4.0,F,F,F,F,F,F,F,False,D,D,D,D,22.0,22.0,4.0,4.0,4,53,53,LETE,0.0,0,0.0,False,True,False,35.0,49,49,53,53,,,5,18.0,0.0,3E,fail,35|40|44|49|53,2E|2E|2E|3E|fail,0|5|4|5|4,,,camera placed 5/15
185,10257.0,RUTW,2019,29.76791,-93.16517,,,none,C,54.0,54.0,0.0,True,,35.0,0.0,0.0,,Y,Y,N,D,18.0,4.0,F,F,F,F,F,F,F,False,D,D,D,D,18.0,18.0,4.0,4.0,4,53,53,LETE,0.0,0,0.0,False,True,False,35.0,49,49,53,53,,,5,18.0,0.0,3E,fail,35|40|44|49|53,3E|3E|3E|3E|fail,0|5|4|5|4,,,"camera placed 5/15 which other nests on cam? Should be 256, 257, 211"
186,10258.0,RUTW,2019,29.76782,-93.16521,,,none,,55.0,55.0,0.0,True,,36.0,0.0,0.0,,Y.,Y,?,D,13.0,5.0,U,U,U-F,U,U,U,U,False,D,D,D,D,13.0,13.0,5.0,5.0,5,49,49,LETE,1.0,7,0.0,True,True,False,35.0,44,44,49,49,,,4,14.0,0.0,2E,not f,35|40|44|49,1E|2E|2E|not f,0|5|4|5,,may barely be visible behind 257 et al.,camera placed 5/15
187,10260.0,RUTE,2019,29.75887,-93.12305,40.0,40.0,none,,,,,True,,,,0.0,,N,N,,,,6.0,A,A,A,A,A,A,A,False,,,A,A,,,6.0,6.0,6,54,54,LETE,,0,0.0,False,True,False,42.0,48,48,54,54,,,4,12.0,,1E,abandon,36|42|48|54,2E|1E|1E|abandon,0|6|6|6,,,3 June- 1E cold and wet 
188,10261.0,RUTE,2019,29.75883,-93.12291,30.0,40.0,none,,51.0,51.0,0.0,True,,32.0,0.0,0.0,,N,N,,,22.0,6.0,A,A,A,A,A,A,A,False,,,A,A,22.0,22.0,6.0,6.0,6,54,54,LETE,0.0,0,0.0,False,True,False,42.0,48,48,54,54,,,4,12.0,0.0,2E,abandon,36|42|48|54,2E|2E|2E|abandon,0|6|6|6,,,3 June- 2E cold and wet
189,10262.0,RUTE,2019,29.7588,-93.12283,40.0,40.0,none,,,,,True,,,,0.0,,N,N,,,,6.0,A,A,A,A,A,A,A,False,,,A,A,,,6.0,6.0,6,54,54,LETE,,0,0.0,False,True,False,42.0,48,48,54,54,,,4,12.0,,1E,abandon,36|42|48|54,1E|1E|1E|abandon,0|6|6|6,,,3 June- 1E cold and wet
190,10263.0,RUTE,2019,29.75879,-93.12283,40.0,40.0,none,,,53.0,,False,,34.0,1.0,4.0,,N,N,,,19.0,5.0,H,H,H,H,H,H,H,False,,,H,H,20.0,20.0,1.0,1.0,1,54,54,LETE,,1,0.0,True,True,False,48.0,53,53,53,53,,,4,6.0,,2E,"2C, 1-2 d",36|42|48|54,"2E|2E|2E|2C, 1-2 d",0|6|6|1,,,
191,10264.0,RUTE,2019,29.75887,-93.12286,40.0,40.0,none,,53.0,53.0,0.0,True,,34.0,1.0,4.0,,N,N,,,19.0,5.0,H,H,H,H,H,H,H,False,,,H,H,20.0,20.0,1.0,1.0,1,54,54,LETE,0.0,1,0.0,True,True,False,48.0,53,53,53,53,,,4,6.0,0.0,3E,2C 1-2d,36|42|48|54,3E|3E|3E|2C 1-2d,0|6|6|1,,,
192,10265.0,RUTE,2019,29.75886,-93.12285,40.0,40.0,none,,52.0,54.0,2.0,False,,35.0,2.0,0.0,,N,N,,,21.0,6.0,H,H,H,H,H,H,H,False,,,H,H,19.0,21.0,6.0,6.0,0,54,54,LETE,0.0,1,0.0,True,True,False,48.0,54,54,54,54,,,4,6.0,0.0,2E,1C,36|42|48|54,2E|2E|2E|1C,0|6|6|6,,,
193,10266.0,RUTE,2019,29.75844,-93.12144,40.0,40.0,none,,66.0,62.0,4.0,False,,34.0,4.0,0.0,,N,N,,,25.0,1.0,H,H,H,H,H,H,H,False,,,H,H,29.0,25.0,1.0,1.0,1,63,63,WIPL,1.0,1,0.0,True,True,False,36.0,62,62,62,62,,,6,27.0,0.0,3E,"2C, 1-2d",36|42|48|54|57|63,"2E|3E|3E|3E|3E|2C, 1-2d",0|6|6|6|3|1,,,12 June- SB and KBB discovered nest empty but signs of hatch. Just east we found the adults with 2 young chicks and banded them. Nest hatched earlier than expected.
194,10268.0,RUTW,2019,29.7645,-93.14937,,,none,,,,,True,,,,0.0,,N,N,,,,5.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,5.0,5.0,5,48,48,LETE,,0,0.0,False,True,False,39.0,43,43,48,48,,,3,9.0,,2E,fail,39|43|48,2E|2E|fail,0|4|5,,,28 May- vehicle tracks everywhere in area. Could not locate stick.
195,10269.0,RUTE,2019,29.75881,-93.12295,,,none,,,57.0,,False,,38.0,0.0,0.0,,N,N,,,19.0,3.0,H,H,H,H,H,H,H,False,,,H,H,19.0,19.0,3.0,3.0,0,57,57,LETE,,1,0.0,True,True,False,42.0,57,57,57,57,,,4,15.0,,3E,"1C, 2E",42|48|54|57,"3E|3E|3E|1C, 2E",0|6|6|3,,,"6 June- chick in scrape 1d, 2E"
196,10270.0,RUTE,2019,29.75877,-93.12286,,,none,,,52.0,,False,,33.0,2.0,2.0,,N,N,,,19.0,4.0,H,H,H,H,H,H,H,False,,,H,H,21.0,21.0,2.0,2.0,2,54,54,LETE,,1,0.0,True,True,False,42.0,52,52,52,52,,,3,12.0,,2E,empty,42|48|54,2E|2E|empty,0|6|2,,,"3 June- poop in nest scrape, chick behavior by adults, very aggressive"
197,10271.0,RUTE,2019,29.75883,-93.12309,,,none,,,48.0,,False,,32.0,0.0,0.0,,N,N,,,16.0,6.0,H,H,H,H,H,H,H,False,,,H,H,16.0,16.0,6.0,6.0,0,48,48,CONI,,1,0.0,True,True,False,42.0,48,48,48,48,,,2,6.0,,2E,"1C, 1E",42|48,"2E|1C, 1E",0|6,,,
198,10273.0,RUTE,2019,29.75887,-93.12328,40.0,30.0,sym,,,,,True,,,,0.0,,N,N,,,,12.0,A,A,A,A,A,A,A,False,,,A,A,,,12.0,12.0,12,54,54,LETE,,0,0.0,False,True,False,42.0,42,42,54,54,,,2,12.0,,1E,abandon,42|54,1E|abandon,0|12,,,3 June- egg cold and wet in scrape
199,10274.0,RUTW,2019,29.76149,-93.13569,,,sym,,,,,True,,,,2.0,,N,N,,,,4.0,F,F,F,F,F,F,F,False,,,F,F,,,2.0,2.0,2,48,48,LETE,,0,0.0,False,True,False,43.0,46,46,48,48,,,3,5.0,,BON,cracked,43|46|48,1E|BON|cracked,0|3|2,,,not sure what caused cracked egg - was the bird still incubating the cracked egg??
200,10275.0,RUTW,2019,29.76156,-93.13579,5.0,20.0,sym,,63.0,63.0,0.0,True,,44.0,0.0,0.0,,N,N,,,10.0,4.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,10.0,10.0,4.0,4.0,4,54,54,LETE,1.0,0,0.0,False,True,False,43.0,50,50,54,54,,,5,11.0,0.0,BON,1E,43|46|48|50|54,1E|BON|2E|BON|1E,0|3|2|2|4,,,"* 6/3 - near dumped flatscreen TV, probably abandoned; looked like nest scrape but no bird seen on nest either time I passed; stick was knocked over so hard to tell where original nest scrape was or if this was an egg knocked out of scrape. human-caused abandonment/nest failure."
201,10277.0,RUTW,2019,29.76208,-93.13799,10.0,30.0,,,,,,True,,,,0.0,,N,N,,,,3.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,3.0,3.0,3,46,46,LETE,,0,0.0,False,True,False,43.0,43,43,46,46,,,2,3.0,,3E,no activity,43|46,3E|no activity,0|3,,,nest observed on 26 May with no activity at nest. 28 May- KBB- nest was run over by vehicle
202,10278.0,RUTW,2019,29.76214,-93.13821,10.0,30.0,,,,,,True,,,,0.0,,N,N,,,,2.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,2.0,2.0,2,48,48,LETE,,0,0.0,False,True,False,43.0,46,46,48,48,,,3,5.0,,BON,fail,43|46|48,1E|BON|fail,0|3|2,,,28 May- KBB observed human tracks leading up to nest. Must have occurred on May 27 (Memorial Day) because the nest was active on May 26 while stewarding. Someone may have entered the colony and approached nest stick.
203,10279.0,RUTW,2019,29.76257,-93.14011,40.0,40.0,,,,,,True,,,,3.0,,N,N,,,,2.0,F,F,F,F,F,F,F,False,,,F,F,,,5.0,5.0,5,48,48,LETE,,0,0.0,False,True,False,43.0,43,43,48,48,,,3,5.0,,not obs,fail,43|46|48,2E|not obs|fail,0|3|2,,,28 May- nest was either trampled by vehicle holiday traffic or cattle
204,10280.0,RUTW,2019,29.77101,-93.1806,60.0,60.0,none,,65.0,65.0,0.0,True,,46.0,0.0,0.0,,N,N,,,11.0,4.0,S,S,S,S,S,S,S,False,,,S,S,11.0,11.0,4.0,4.0,4,57,57,LETE,1.0,0,0.0,False,True,False,49.0,53,53,57,57,,,3,8.0,0.0,3E,fail,49|53|57,3E|3E|fail,0|4|4,,,
205,10281.0,RUTW,2019,29.76396,-93.14695,30.0,30.0,,,,,,True,,,,0.0,,N,N,,,,5.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,5.0,5.0,5,48,48,LETE,,0,0.0,False,True,False,43.0,43,43,48,48,,,2,5.0,,1E,cracked,43|48,1E|cracked,0|5,,,"6/3 SB could not find stick or scrape, tire tracks criss-crossing area"
206,10282.0,RUTW,2019,29.76423,-93.14762,10.0,30.0,,,,,,True,,,,0.0,,N,N,,,,5.0,Hu,Hu,Hu,Hu,Hu,Hu,Hu,False,,,Hu,Hu,,,5.0,5.0,5,48,48,LETE,,0,0.0,False,True,False,43.0,43,43,48,48,,,2,5.0,,3E,fail,43|48,3E|fail,0|5,,,run over by vehicle
207,10283.0,RUTW,2019,29.76423,-93.1478,10.0,30.0,,,59.0,61.0,2.0,False,,42.0,2.0,0.0,,N,N,,,21.0,7.0,H,H,H,H,H,H,H,False,,,H,H,19.0,21.0,7.0,7.0,0,61,61,LETE,0.0,1,0.0,True,True,False,54.0,61,61,61,61,,,4,7.0,0.0,2E,"2C, 1-2d",43|48|54|61,"2E|2E|2E|2C, 1-2d",0|5|6|7,,,
208,10284.0,RUTW,2019,29.7654,-93.15327,40.0,40.0,,,,49.0,,False,,33.0,5.0,5.0,,N,N,,,16.0,1.0,H,H,H,H,H,H,H,False,,,H,H,21.0,21.0,6.0,6.0,5,54,54,CONI,,1,0.0,True,True,False,43.0,49,49,49,49,,,4,11.0,,hatch?,1C 5-6d,43|48|49|54,2E|not f|hatch?|1C 5-6d,0|5|1|5,penult should have been deleted,,"one light and one dark egg. 3 June- pale egg did not hatch. chick looks older, 5-6d"
209,10285.0,RUTW,2019,29.76781,-93.16523,15.0,30.0,none,,65.0,65.0,0.0,True,,46.0,0.0,0.0,,N,N,,,7.0,4.0,D,D,D,D,D,D,D,False,,,D,D,7.0,7.0,4.0,4.0,4,53,53,LETE,1.0,0,0.0,False,True,False,49.0,49,49,53,53,,,2,4.0,0.0,2E,fail,49|53,2E|fail,0|4,,,
210,10286.0,ROJH,2019,29.63671,-92.76801,5.0,10.0,none,,77.0,77.0,0.0,True,,49.0,0.0,0.0,,N,N,,,13.0,7.0,S,S,S,S,S,S,S,False,,,S,S,13.0,13.0,7.0,7.0,7,62,62,WIPL,1.0,0,0.0,False,True,False,50.0,55,55,62,62,,,3,12.0,0.0,3E,fail,50|55|62,3E|3E|fail,0|5|7,,,11 June- area overwashed from June 5th surge likely the cause of failure.
211,10287.0,ROCK,2019,29.66665,-92.8417,30.0,30.0,none,,82.0,82.0,0.0,True,,54.0,,0.0,,N,N,,,,7.0,S,S,S,S,S,S,S,False,,,S,S,8.0,8.0,7.0,7.0,7,62,62,WIPL,1.0,0,0.0,False,True,False,52.0,55,55,62,62,,,3,10.0,0.0,3E,0E,52|55|62,1E|3E|0E,0|3|7,,,
212,10288.0,RUTW,2019,29.77107,-93.18058,40.0,30.0,none,,64.0,67.0,3.0,False,,48.0,3.0,0.0,0.046875,Y,Y,N,H,22.0,4.0,H,H,H,H,H,H,H,False,H,H,H,H,19.0,22.0,4.0,4.0,0,67,67,LETE,0.0,1,1.0,False,False,False,49.0,67,67,67,67,,,5,18.0,0.0,2E,"1C, 1E",49|53|57|63|67,"3E|3E|3E|2E|1C, 1E",0|4|4|6|4,,,"6/16 - 1 chick, 1 egg"
213,10289.0,ROCK,2019,29.66703,-92.8427,5.0,5.0,none,,53.0,53.0,0.0,True,,34.0,0.0,0.0,,Y,Y,N,D,21.0,3.0,D,D,D,D,D,D,D,False,D,D,D,D,21.0,21.0,3.0,3.0,3,55,55,LETE,0.0,0,0.0,False,False,False,52.0,52,52,55,55,,,2,3.0,0.0,3E,0E,52|55,3E|0E,0|3,,,6/4 camera footage of coyote
214,10290.0,ROCK,2019,29.6684,-92.8471,60.0,50.0,none,,65.0,65.0,0.0,True,,49.0,0.0,0.0,,N,N,,,13.0,7.0,S,S,S,S,S,S,S,False,,,S,S,13.0,13.0,7.0,7.0,7,62,62,CONI,1.0,0,0.0,False,True,False,52.0,55,55,62,62,,,3,10.0,0.0,2E,0E,52|55|62,2E|2E|0E,0|3|7,,,11 Jun - could not find nest or stick
215,10291.0,ROCK,2019,29.66725,-92.84373,30.0,30.0,none,,65.0,65.0,0.0,True,,49.0,0.0,0.0,,N,N,,,13.0,7.0,S,S,S,S,S,S,S,False,,,S,S,13.0,13.0,7.0,7.0,7,62,62,CONI,1.0,0,0.0,False,True,False,52.0,55,55,62,62,,,3,10.0,0.0,2E,0E,52|55|62,2E|2E|0E,0|3|7,,,11 Jun - stick half buried by storm surge
216,10292.0,ROCK,2019,29.66526,-92.83795,,,none,,68.0,68.0,0.0,True,,52.0,0.0,0.0,,N,N,,,10.0,7.0,S,S,S,S,S,S,S,False,,,S,S,10.0,10.0,7.0,7.0,7,62,62,CONI,1.0,0,0.0,False,True,False,52.0,55,55,62,62,,,3,10.0,0.0,2E,0E,52|55|62,2E|2E|0E,0|3|7,,,
217,10293.0,ROCK,2019,29.66009,-92.82614,40.0,40.0,none,,,,,True,,,,0.0,,N,N,,,,3.0,F,F,F,F,F,F,F,False,,,F,F,,,3.0,3.0,3,55,55,CONI,,0,0.0,False,True,False,52.0,52,52,55,55,,,2,3.0,,2E,not f,52|55,2E|not f,0|3,,,4 June- SB- could not find nest stick on wrack line; probably washed out
218,10295.0,ROCK,2019,29.66683,-92.84237,5.0,5.0,none,,67.0,67.0,0.0,True,,48.0,0.0,0.0,,Y,Y,N,D,7.0,3.0,D,D,D,D,D,D,D,False,D,D,D,D,7.0,7.0,3.0,3.0,3,55,55,LETE,1.0,0,0.0,False,False,False,52.0,52,52,55,55,,,2,3.0,0.0,3E,0E,52|55,3E|0E,0|3,,,"6/4 camera footage of coyote, stick dug up, evidence of digging around nest"
219,10296.0,ROCK,2019,29.66692,-92.84262,5.0,5.0,none,,67.0,67.0,0.0,True,,48.0,0.0,0.0,,N,N,,,7.0,3.0,D,D,D,D,D,D,D,False,,,D,D,7.0,7.0,3.0,3.0,3,55,55,LETE,1.0,0,0.0,False,True,False,52.0,52,52,55,55,,,2,3.0,0.0,2E,0E,52|55,2E|0E,0|3,,,"6/4 stick dug up, digging nearby; right near depredated nests"
220,10298.0,RUTW,2019,29.76763,-93.16452,15.0,30.0,none,,68.0,68.0,0.0,True,,49.0,0.0,0.0,,Y,Y,N,F,12.0,4.0,F,F,F,F,F,F,F,False,F,F,F,F,12.0,12.0,4.0,4.0,8,61,61,LETE,1.0,0,0.0,False,False,False,53.0,53,53,61,61,,,3,8.0,0.0,BON,empty,53|57|61,2E|BON|empty,0|4|4,,,10 June- check camera set on nest for fate confirmation
221,10299.0,RUTW,2019,29.76765,-93.16454,20.0,30.0,none,,68.0,68.0,0.0,True,,49.0,0.0,1.0,0.0,Y,Y,N,H,23.0,5.0,U,U,U,U,U,U,U,False,H,H,H,H,23.0,23.0,4.0,4.0,4,72,72,LETE,0.0,7,1.0,True,True,True,53.0,66,68,72,68,68.0,68.0,7,19.0,1.0,not check,0E,53|57|61|63|66|67|72,2E|BON|2E|2E|BON|not check|0E,0|4|4|2|3|1|4,penult should be BON,chick ~3 days old in photo 20 jun,
222,10301.0,RUTW,2019,29.76206,-93.13763,10.0,30.0,sym,,70.0,70.0,0.0,True,,51.0,0.0,0.0,,N,N,,,6.0,2.0,S,S,S,S,S,S,S,False,,,S,S,6.0,6.0,2.0,2.0,2,57,57,LETE,1.0,0,0.0,False,True,False,54.0,55,55,57,57,,,3,3.0,0.0,BON,fail,54|55|57,2E|BON|fail,0|1|2,,,
223,10304.0,RUTW,2019,29.76381,-93.14562,30.0,50.0,none,,73.0,73.0,0.0,True,,54.0,0.0,0.0,,N,N,,,7.0,7.0,F,F,F,F,F,F,F,False,,,F,F,7.0,7.0,7.0,7.0,7,61,61,LETE,1.0,0,0.0,False,True,False,54.0,54,54,61,61,,,2,7.0,0.0,1E,fail,54|61,1E|fail,0|7,,,
224,10307.0,RUTW,2019,29.76623,-93.15741,40.0,40.0,none,,73.0,73.0,0.0,True,,54.0,0.0,0.0,,Y,Y,N,F,7.0,7.0,F,F,F,F,F,F,F,False,F,F,F,F,7.0,7.0,7.0,7.0,7,61,61,LETE,1.0,0,0.0,False,False,False,54.0,54,54,61,61,,,2,7.0,0.0,2E,fail,54|61,2E|fail,0|7,,,
225,10308.0,RUTW,2019,29.76619,-93.15721,10.0,40.0,none,,70.0,70.0,0.0,True,,51.0,0.0,0.0,,Y,Y,N,A,10.0,7.0,F,F,F,F,F,F,F,False,A,A,A,A,10.0,10.0,7.0,7.0,7,61,61,LETE,1.0,0,0.0,False,True,False,54.0,54,54,61,61,,,2,7.0,0.0,2E,fail,54|61,2E|fail,0|7,,,10 June- check camera set on nest for fate confirmation; fate from camera unclear
226,10309.0,ROCK,2019,29.66755,-92.84431,20.0,40.0,none,,69.0,69.0,0.0,True,,53.0,0.0,0.0,,N,N,,,9.0,7.0,S,S,S,S,S,S,S,False,,,S,S,9.0,9.0,7.0,7.0,7,62,62,CONI,1.0,0,0.0,False,True,False,55.0,55,55,62,62,,,2,7.0,0.0,2E,0E,55|62,2E|0E,0|7,,,11 Jun - stick half buried by storm surge
227,10310.0,RUTE,2019,29.75841,-93.12151,10.0,30.0,sym,,,84.0,,False,,65.0,0.0,0.0,,Y,Y,N,H,19.0,7.0,H,H,H,H,H,H,H,False,H,H,H,H,19.0,19.0,7.0,7.0,0,84,84,LETE,,1,1.0,False,False,False,68.0,84,84,84,84,,,4,16.0,,2E,"1C, 1E",68|72|77|84,"2E|2E|2E|1C, 1E",0|4|5|7,,,"7/3 - 1 chick, 1 egg; camera placed 6/17"
228,10311.0,RUTE,2019,29.7584,-93.12082,,,sym,,,75.0,,False,,56.0,2.0,0.0,,Y*,Y,Y,H,19.0,5.0,H,H,H,H,H,H,H,False,H,H,H,H,21.0,21.0,5.0,5.0,2,77,77,LETE,,1,1.0,False,False,False,68.0,75,75,75,75,,,3,9.0,,2E,0E,68|72|77,2E|2E|0E,0|4|5,,,camera placed 6/21; chick ~5 days old found within 2ft of nest-WHAT DAY???
229,10312.0,ROCK,2019,29.66978,-92.84998,0.0,10.0,none,,,83.0,,False,,67.0,0.0,0.0,,N,N,,,16.0,4.0,H,H,H,H,H,H,H,False,,,H,H,16.0,16.0,4.0,4.0,0,83,83,CONI,,1,0.0,True,True,False,69.0,83,83,83,83,,,4,14.0,,BON,2C,69|73|79|83,2E|BON|BON|2C,0|4|6|4,,,hatch day?
