"","allData.nest","allData.NOTES","allData.cam_notes","allData.new_notes"
"315","10347",NA,"this was probably nest 047","dog disturbance ~3 hrs after cam placed; then cow that night; bird comes back to nest next day; still on nest 2 days later and the day after - mate brings fish; next day loads of cows around, bird still comes back to incubate, and next day, and next… and then bird is still there until right before I come to move cam and mark nest? maybe thtis isn't 347 - why does it say 0e on 7/3? nest pics confirm nest discovered 3/1"
"316","10348",NA,NA,NA
"317","10349",NA,NA,NA
"318","10350","almost certainly lost to storm surge",NA,NA
"319","10353","30 Jul - 2E being eaten by ants; eggs did not look abandoned on previous visit, and bird was seen on nest","were eggs already nonviable right after storm but bird kept incubating? bird there on 7/9 but then must have been gone 7/10? Why was cam pulled? Never mind found other photos - any after 7/19? Bird was still incubating so not abandoned at that point","bird still there on 19 Jul - are there any more photos? Did camera die?"
"320","10354","16 Jul cattle tracks all through area, looks like they stampeded through there :( could not find stick",NA,NA
"321","10355","17 Jul - placed camera; knocked over by cattle and disturbance in area","where?",NA
"322","10356","8 Jul - placed camera","birds return once after cows were in area and then again the next day (or were there the whole time and only on camera those times) According to camera, was pulled after 2 days (7/10) but still has egg 7/11?","bird is on eggs around sunset, then 5 hours later, cow comes through - when was camera pulled? Was there a storm cam?"
"323","10357","8 Jul - placed camera; * egg floated high and slanted, but had stuff stuck to it. probably actually rotten/abandoned","where is this camera footage?",NA
"324","10358","8 Jul - placed camera; 11 Jul found with hatched chick being eaten by ants :(","still counts as hatched if depredated after! need to decide when nest is considered ""successful"" - nest did hatch","may have found on toshiba"
"325","10359","TS Barry","non-storm cam also has some good footage","cow disturbance night of 7/11, bird is back 7/12, still there evening of 7/13, then cow - only there 10 mins, maybe not enough to scare her off; morning of 7/14 camera seems underwater? Or just fogged up? Then vehicle, cows, coyote"
"326","10360","17 Jul - placed camera","egg found trampled, not determined by camera","is this one with the 2020 nests? Yes"
"327","10370","7/25/19 - Nest discovered with 2 eggs, 14d and 3d. 3d egg likely non-viable. 31 Jul - 1E, cold, condensation, and stuck to sand. looked around for evidence of other egg hatching","changed from U-A to U-H, because what else could have happened to viable egg? Eaten? And they didn't eat the rotten one? Maybe",NA
"328","10371","8/3 - 1 chick, 1 egg; camera; mom and babies caught and mom given nanotag","""fuel nest"" - chicks on camera too","is this one with the 2020 nests?"
"329","10400",NA,NA,NA
"330","10401","31 May- adults throwing poop, no chicks seen in the immediate area. Seems to have hatched.",NA,NA
"331","10402",NA,NA,NA
"332","10403",NA,NA,NA
"333","10404","11 June- camera was on nest and observed the chicks in scrape, and a fiddler crab with large claw being fended off by adults",NA,NA
"334","10405","likely abandoned from the June 5 storm.",NA,NA
"335","10406","1 June- eggs hatched, 2C visible on camera. Early morning on June 2, a GHOW depredated the nest. Chicks were lost. KBB",NA,NA
"336","10407","6 June- eggs and rock washed out in this area from June 5 storm",NA,NA
"337","10408",NA,NA,NA
"338","10409",NA,NA,NA
"339","10410",NA,NA,NA
"340","10411","11 June- poop in scrape",NA,NA
"341","10412","likely hatched, but no direct evidence aside from a lot of angry adults overhead on June 4. KBB",NA,NA
"342","10413","nest has a game camera on video mode. check camera for hatch day confirmation. 18 June- 3 chicks hiding and being fed under the camera and shading in the cinder block. later footage shows mosquito control truck spraying chemicals and turning around in the immediate area. ",NA,NA
"343","10414","15 June- bushnell cam on nest. Camera footage shows bird on nest through June 23 thus far. Camera footage shows chick hatching at 9:24am on July 2nd. GHOW ate the chick and remaining egg around 4:45am on July 4th",NA,NA
"344","10415","15 June- exodus cam on nest. 17 June- camera shows nest submerged from storm from 4am-10:30am. Curious if this will impact hatch. 24 June- nest was submerged again from heavy rainfall and eggs were washed away. Photos confirm nest fate.",NA,NA
"345","10417","23 June- exodus camera deployed on nest 2 July- grackle at nest 5 July camera removed",NA,NA
"346","10418",NA,NA,NA
"347","12023-09-02 00:00:00",NA,NA,NA
"348","1107b","renest at 107 stick",NA,NA
"349","11001","nest not marked or floated (coyotes) but camera placed on 6/27; hatch was 6/28",NA,NA
"350","1HB-1","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"351","1HB-2","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"352","1HB-3","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"353","1HB-4","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"354","1HB-5","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"355","1HB-6","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"356","1HB-7","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"357","1HB-8","nests were not marked or floated bc of coyotes in area and infrequent site visits",NA,NA
"358","11002","nest not marked or floated (coyotes) but camera placed on 6/27",NA,"not sure which folder has these photots - might be ""holly beach maybe"""
"359","11003","nest not marked or floated (coyotes) but camera placed on 6/27; camera batteries died","camera batteries died",NA
"360","13211","field obs for 7/3?? camera placed 6/21; check cam for fate","pulled cameras before July 4th weekend, then couldn't get back to area until 7/9","folder labeled ""nest 231"""
"361","1KILL",NA,NA,NA
"362","1OYBA-1","on the dirt road through the restoration site",NA,NA
"363","1OYBA-10","not tracked to fate",NA,NA
"364","1OYBA-11","not tracked to fate",NA,NA
"365","1OYBA-12","not tracked to fate",NA,NA
"366","1OYBA-2","on the dirt road through the restoration site. not tracked to fate.",NA,NA
"367","1OYBA-3","on the dirt road through the restoration site",NA,NA
"368","1OYBA-4","on the dirt road through the restoration site",NA,NA
"369","1OYBA-5","on the dirt road through the restoration site",NA,NA
"370","1OYBA-6",NA,NA,NA
"371","1OYBA-7",NA,NA,NA
"372","1OYBA-8",NA,NA,NA
"373","1OYBA-9","not tracked to fate",NA,NA
"374","1WE-1",NA,NA,NA
"375","1WE-2",NA,NA,NA
"376","1WE-3",NA,NA,NA
"377","1WE-4","4 July- one egg washed out from nest",NA,NA
"378","1WE-5",NA,NA,NA
"379","1WE-6",NA,NA,NA
"380","1WE-7",NA,NA,NA
"381","1WE-8","10 July, egg floating high and angled at surface. Egg felt dense. TS Barry hit coast on July 13 so unable to check nest status",NA,NA
"382","1total hatch",NA,NA,NA
"383","20001","no sign of predator.no adults present. Severe storms on 4/29. popsicle stick still present.",NA,NA
"384","20002","4/30 female captured at nest (box trap) 13:40 and banded. 5/4 nest was run over by vehicle, nest stick crunched, no adults present.",NA,NA
"385","20003","all eggs floated almost vertical on the bottom (9 day egg). All eggs hatched and chicks banded",NA,NA
"386","20004","certain the female is unbanded but not sure if P9 is the male",NA,NA
"387","20005",NA,NA,NA
"388","20006",NA,NA,NA
"389","20007",NA,NA,NA
"390","20008",NA,NA,NA
"391","20009",NA,NA,NA
"392","20200","5/27 - 2 chicks","BFTP21703278. changed SD card on 5/13, 5/18",NA
"393","20201","Chicks hatched ~27 May. Egg shell fragments and poop in cup.",NA,NA
"394","20202","Chick in neset cup",NA,NA
"395","20203","25 May- hatch day, 1 chick and 2nd egg hatching in progress.",NA,NA
"396","20204","egg shell nearby indicating hatch. no chicks found","B180301867 (Personal Cam).changed SD card on 5/13, 5/18; hard to tell what happened from the camera - estimated hatch date",NA
"397","20205","Two chicks in cup 27 May, 3rd chick in cup 28 May",NA,NA
"398","20206","chick behavior, parents squawking. adults seen in veg brooding chick. Signs point to hatch.",NA,NA
"399","20207","no sign of predation. ants in darkened circle believed to be the old nest cup. popsicle stick fell over. possible fail due to vehicle, but no fresh tracks present but nest is located close to road.",NA,NA
"400","20208","no sign of predation, possibly vehicle, several tire tracks directly through where nest was, stick was crushed and burried along with nest area. No evidence of eggshells or nest",NA,NA
"401","20209","Area was void of stick or nest cup, no sign of eggs or shells. Cattle tracks through area, but they looked old",NA,NA
"402","20210","No sign of nest cup or eggs, stick was found washed out 1-2 feet away",NA,NA
"403","20211","Replaced stick that was missing on 15 May. Cattle trampled through cup area",NA,NA
"404","20212","Cattle trampled through cup area",NA,NA
"405","20213","Nest cup and stick undisturbed. Cattle tracks in area destroyed possible tracks",NA,NA
"406","20214","No sign of eggs or cup, stick place in proximate location of cup. Storm on 14 May possibly washed out nest",NA,NA
"407","20215","evidence of cow tracks going through. couldn't find the nest stick",NA,NA
"408","20216","No way to tell where nest cup was, sand around area smooth",NA,NA
"409","20217","Egg residue in cup forming hard bottom after it dried. egg shells 2 feet away at ghost crab hole",NA,NA
"410","20218","egg in cup failed, second egg likely hatched between 25 and 27 May","SN 1806271416, set 18 May, kicked over by cattle so fate of nest was not able to be determine by photo.",NA
"411","20219","Nest cup had cattle tracks nearby but no sign of damage to the cup or visible prints. No egg shells or residue left behind. Stick undisturbed",NA,NA
"412","20220","Bird flushed from nest, one egg had small hole in side perhaps from avian predator",NA,NA
"413","20221","6/1 - 0E, check cam","SN 1807040634, set 18 May, cam failed to take pictures",NA
"414","20222","coyote track lead directly up to nest",NA,NA
"415","20223","eggshell in cup, no prints noticable next to nest cup, possibly avian predator",NA,NA
"416","20224",NA,NA,NA
"417","20225","nest cup dug at",NA,NA
"418","20226","nest cup dug at",NA,NA
"419","20227",NA,NA,NA
"420","20228",NA,NA,NA
"421","20229","Nests destroyed by coyotes. Eggshells found nearby broken almost in half",NA,NA
"422","20230","1 egg floated at 23. didn't float the other two bc there was fractures. adults present broken winging. two chicks banded at hatch, one chick hatched post banding.",NA,NA
"423","20231","1 egg hatch, egg shell near nest but no chick, second egg failed and cold in cup",NA,NA
"424","20232","1 egg floated at 20-21 days",NA,NA
"425","20233",NA,NA,NA
"426","20234",NA,NA,NA
"427","20235",NA,NA,NA
"428","20236","6/1 - could not find nest or stick. one pair in area at a different nest (303). watched from afar and no other birds came to the area",NA,NA
"429","20237","6/1 - looked for egg shell or other signs of fate, tire tracks nearby might be old?",NA,NA
"430","20238","6/1 - could not find nest or stick, placed camera in area just in case. some birds in area diving at me","A = cam placed after nest wasn't there",NA
"431","20239","Nest marked as WIPL but was actually KILL",NA,NA
"432","20240","seen in person? Yes 5/28 - 2 chicks","where are these photos? Are they jonathon's? did he give me more photos?",NA
"433","20241",NA,NA,NA
"434","20242","first chick hatched on 27 MAy, banded in cup, other two chicks hatched theat evening or early the next morning and were all gone on the 28th",NA,NA
"435","20243","Egg shell near nest indicating hatch",NA,NA
"436","20244",NA,NA,NA
"437","20245",NA,NA,NA
"438","20246",NA,NA,NA
"439","20247","25 May- camera on nest","CAmera knocked over by cattle. Was this ever actually a nest? Or just an abandoned egg?",NA
"440","20248",NA,NA,NA
"441","20249","2 Chicks near cup on 13 Jun, Camera revealed hatch to be 12 June","12 Jun hatch day",NA
"442","20250","Appears to have hatched, poop in cup","where are these photos?",NA
"443","20251","why is field fate H? CAmera on nest","looking at pictures, unclear whether nest hatched or not. If so, then birds left area the day after - why?",NA
"444","20252","Poop in cup, evidence of hatch, parents exhibiting chick behavior",NA,NA
"445","20253","Camera on nest. did not float to avoid contact with eggs due to bad coyote predation in area","Camera knocked over, possibly by hogs",NA
"446","20254","Ran over by Blue F150, parents still at nest site when found",NA,NA
"447","20255","No chicks found, but parents exhibiting chick behavior and eggshells nearby","where are these photos?",NA
"448","20256","6/15 - 1 chick? Seen in field? Yes No stick or sign of birds as of 13 June","approx hatch date - see pics","lots of trail cam photo"
"449","20257","6/13 - 1 chick how old?",NA,NA
"450","20258","6/2 - 1 chick",NA,"chick cam afterward - on WD drive"
"451","20259","5/27 - 1 chick, 1 egg",NA,NA
"452","20260","why marked U-H? evidence?","why marked abandoned? was the bird seen on the nest after day 57?",NA
"453","20261","Stick and egg gone, possible egg shell in nest cup.",NA,NA
"454","20262","why marked H???","Camera fell over",NA
"455","20263","why H? what happened to my notes? Birds leave morning of 6/19? Unclear why, but J was there night of 6/18 and no sign of chicks on cam either","why did Jonathon think this one hatched? I don't see it","was it down to 1e because the other two hatched? Something happens night of 6/18 - can't tell what is in the camera flash. Birds check back the next morning and then leave"
"456","20264","why H? field evidence?","chick in photos on 6/28 - looks at least 2 days old",NA
"457","20265",NA,NA,NA
"458","20266","evidence of chicks? In 23 Jun photo, female holding egg shell. Then moving around a lot over next 3 days; appears to be brooding in one pic. But still 2E on 25 jun???? Is date on camera off?? One bad egg on 26 Jun","Maybe this nest came after mystery june nest on same cam? Veg in way blocking nest - rat or mouse comes to visit; why is this marked hatch? F appears to be brooding chicks 6/22. Bird flies in on 6/24 in one picture","can see the bird in the middle between the leaves sometimes on 20 Jun; by 21 Jun there is a branch in the way; then that morning the camera gets shifted to the left, bird out of frame; comes back in frame a couple of times, including holding egg shell on the 23rd?"
"459","20267","No sign of predation at nest, possible hatch.","Camera SD card was knock out of slot when being placed and failed to take picture",NA
"460","20268","One egg floated high out the water at an angle and was very light, likely dead. Abandoned, presumed due to vehicle and human",NA,NA
"461","20269","6/25 - 1 chick how old",NA,NA
"462","20270","Nest ran over by vehicle, crushed and dried eggs found",NA,NA
"463","20271","One egg left near nest, cattle prints where cup should be",NA,NA
"464","20272","Abandoned, possibly over 4th weej=kend. 1 egg cracked, chicks pretty much fully developed in eggs",NA,NA
"465","20273",NA,NA,NA
"466","20274","Two chicks banded in cup, third chick could be heard in egg",NA,NA
"467","20275","2 chicks hatched and banded in cup, 1 egg failed. egg was gone on the 17th","Two chicks hatched sucessfully, parents sat on last egg full day after first two chicks hatched then left",NA
"468","20276","1 Chick in nest, still wet, second egg unhatched 25 Jun. Both chicks hatched, banded on 7 July 2020. Band# 115289174 and 115289175. Chicks fledged 13 July",NA,NA
"469","20277","Failed unkonwn",NA,NA
"470","20278","Ants eating crushed dried egg",NA,NA
"471","20279","Ants eating crushed dried egg",NA,NA
"472","20280","Ants eating crushed dried egg",NA,NA
"473","20281","Camera, stick and eggs all gonewhen checked. fate unkown","Camera stolen",NA
"474","20282","four wheeler tracks over nes cup and stick",NA,NA
"475","20283","Washed away in storm surge on 22 Jun",NA,NA
"476","20284","Washed away in storm surge on 22 Jun",NA,NA
"477","20285","Washed away in storm surge on 22 Jun",NA,NA
"478","20286","Washed away in storm surge on 22 Jun",NA,NA
"479","20287","Washed away in storm surge on 22 Jun",NA,NA
"480","20288","Washed away in storm surge on 22 Jun",NA,NA
"481","20289","Washed away in storm surge on 22 Jun",NA,NA
"482","20290","Washed away in storm surge on 22 Jun",NA,NA
"483","20291","Possible bad egg. Washed away in storm surge on 22 Jun",NA,NA
"484","20292","Washed away in storm surge on 22 Jun",NA,NA
"485","20293","Washed away in storm surge on 22 Jun",NA,NA
"486","20294","Washed away in storm surge on 22 Jun",NA,NA
"487","20295","Washed away in storm surge on 22 Jun",NA,NA
"488","20296","Washed away in storm surge on 22 Jun",NA,NA
"489","20297","Washed away in storm surge on 22 Jun",NA,NA
"490","20298","Egg staring on Jun 30, succeful hatch of both chicks as of 2 July, 3July only one chick left. Chick still alive as of 5 July",NA,NA
"491","20299","1 egg abandoned in cup, cold and covered in sand 5 July","Camera stolen",NA
"492","20600",NA,NA,NA
"493","20601",NA,NA,NA
"494","20602",NA,NA,NA
"495","20603",NA,NA,NA
"496","20604",NA,NA,NA
"497","20300","5/29 - 1 chick, 1 egg","not tracked to fate - hatched when found",NA
"498","20301","any other observations in between? 6/11 - 1E getting eaten by ants. probably abandoned? and then attacked by ants? depredated and then attacked?","cam set 6/10; bird is there bobbing head on 6/12, but not on nest; cow steps in area on 6/12 night. cow steps on nest 6/14 - ?? After it was abandoned?",NA
"499","20302",NA,NA,NA
"500","20303",NA,NA,NA
"501","20304","6/9 - 1 chick how old?; needs stick","any photos after 6/5? If stick nest is 304, then cam placed ""30 jan"" at ""3:22am"" and bird is gone by 4 feb at 8:27am (something triggers cam at night). There is another folder of photos but bird is only in a couple, not incubating","??"
"502","20305","6/10 - 2 chicks - seen in field? Y; needs stick","no field pic?","extensive photos and videos of chicks, plus lots of field data"
"503","20306","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"504","20307","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"505","20308","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"506","20309","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"507","20310","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"508","20311","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"509","20312","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"510","20313","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"511","20314","Nests 306-314 failed due to either vehicle, coyote, or Tropical Storm Cristobal storm surge. Evidence of all three disturbance types on camera for colony in general. Any nests not lost to coyotes or vehicles in the days leading up to the storm were wiped out once the storm hit.","Camera over general colony captured coyote, vehicle and storm surge disturbance",NA
"512","20317","6/19 - 2 chicks how old? 1-2 days","where are these photos?","camera shifts downward by 6/11 but can see bird occasionally?"
"513","20318","6/27- 1 chick - seen in field? Y-6/24 ~4 days old","Y but what? Only 2 days of photos? (10-11 jun). Still know it hatched",NA
"514","20319","egg (pale) still there on 6/18; no sign of adults nearby",NA,NA
"515","20320",". on 6/24 does she have 1 or 2E??? 6/19 was marked 0E but I adjusted cam on 6/24 and yo ucan still see the white egg after. Nothing in notes/photos. 1 egg is a cracked shell with no contents but still sitting next to other egg - what happened to this nest, what/when was final fate?? i guess she was just incubating the dud egg?","lots of good video, but sad if she is incubating a dud.is still there when photos end on 6/12 - are there more photos somewhere? What about nest checks?","update: notes say card changed 6/15. more photos on extHD. M visits a lot on 6/18. white egg clearly visible, what about other? 6/24 adjusted cam; she's still there after. was this one floated? 6/26 she is no longer incubating :( scared off nest afternoon of 6/25 and doesn't return"
"516","20321","6/19 - 1 chick, 1 egg","changed cam fate from U to H",NA
"517","20322","was this one floated? 6/23 - stick trampled, eggs still there. 6/19 - possibly abandoned, bird not present and did not return while I was watching; camera stops abruptly but still had battery - unknown fate","changing date to 6/23 not 6/19; changing cam fate back to A. marking as F, not A. is the note supposed to be 6/19 or 6/9? Cam starts 11 jan 8am, ends 16 jan 3:47am? Don't see photos of me",NA
"518","20323","tagged female (118) tracked to nest location. very close to where she nested last year.","Video of nest getting eaten by snake - labelled 324. no pics after 6/14?","no pics after 6/18? Last upload says 6/23"
"519","20324","6/15 - 2E cracked, getting eaten by ants (SB has pics) check cam for fate","lots of cattle in area, close to nest - knocked over camera, presumably trampled nest ~11 hrs after camera placed",NA
"520","20350","6/18- may be abandoned; no sign of adults in area","no field pic?",NA
"521","20351","is this an actual nest? Assuming it was found on 6/18, when the others around that number were found. Only google photo is from 24","found photos, but not many. Year says 2019 but date doesn't line up for that (found 7/7/19) no field pic?","why is it called 351RD in GPS?"
"522","20352","removed asterisk from est HD changed est HD to 7/3 bc one egg might be bad*float was weird: one egg flat on bottom, one floating high with the tip above the water; camera pulled for July 4th by Jonathon - what was nest status?","IS THIS 352? MAYBE 355? camera was set too high but can still see female - she was there until just before I picked up the camera, but started to move around a bit - chicks probably","male also starts to visit more & birds are there until right before camera is removed. Added 0E on 3-Jul"
"523","20353",NA,NA,NA
"524","20354",NA,"has a stick",NA
"525","20355",NA,"I think 355 and 352 are swapped in the folders not sure if cam fate written down is correct - about 24hrs w/o photos, is that long enough? Definitely still eggs 6/19, what about 6/20 and 6/21? camera stopped picking up footage on 6/21; still had battery life when picked up; not knocked over; nest probably failed","what are the photos in the nest 355 folder? They go from 6/24 to 7/2. 356? 352?"
"526","20356","9 Jul - nest trampled, stick broken","6/26 - cattle knock over camera; camera re-set 6/27; stops recording 7/2 but takes pic 7/3 when I pick it up; INTENSE COW PHOTOS; camera re-set 7/7; cattle either crush nest or cause abandonment",NA
"527","20357","3 Jul - both eggs crushed","why did I think the camera was 357?",NA
"528","20358","in Gaia, says 15-jul changed card, 1 bad egg 1 chick","maybe chick nest is 358",NA
"529","20359","field fate??",NA,NA
"530","20360","HOW sure am I that it's 360? On 2-jul says it's prob abandoned bc i accidentally caught a female on it WHEN WAS IT FOUND field photo from 9 Jul shows 1 egg; photo from 15 Jul shows cattle disturbance? Was I in cameron to pick up the camera? Doesn't look like I was there 25 jul",NA,NA
"531","20361","7 Jul - 2E, tip over; 15 Jul - 2C, 4-5 days","chick in video on 19 Jul","on 13 Jul bird is moving like maybe chicks under her"
"532","20362","ALM VERT",NA,NA
"533","20364",NA,NA,NA
"534","20365","14 or 15 Jul - probably abandoned - left cam","THIS WAS 2019: thought cam was 360. starts 17-jul; re-set 19 jul after being knocked over; mist nets on 23 jul; bird still incubating 24 jul; cam knocked over again 24 jul and picked up 25 jul?","maybe dates on cam are off? So end would be 22/23 jul?"
"535","20366","do I have a photo of 366? - yes, multiple; 45+>45",NA,NA
"536","20367","1NQV1TO",NA,NA
"537","20368","BTH TO OL",NA,NA
"538","20369","HORIZ:,(",NA,NA
"539","20370","1E VERT","changed card on 7/16; wasn't sure if abandoned",NA
"540","20400","chick seen? how old was the chick on 7/7?","no photos after 6/27?",NA
"541","20401","No chicks near cup, highly upset parents, wings up on ground","cows in photos on 7/9?",NA
"542","20402","Chick in cup, assumed second chick nearby. ARound 2 daysold",NA,NA
"543","20403","Stick broken, nest gone, cattle tracks through area where cup was",NA,NA
"544","20404","Cracked egg next to nest area being eaten by ants. Stick crushed",NA,NA
"545","20405","No sign of failure. assumed hatched","Chicks hatched on 12 July.",NA
"546","20406","egg shell near nest indicates hatch","Pictures unclear as to what happened",NA
"547","20407","No signof predation or abandonment",NA,NA
"548","20408","Both chicks found dead in cup 7 hours after first check while putting out cameras","how old were chicks?",NA
"549","20409","Single egg left, ants in cup, egg covered in sand, possibly caused by cattle?",NA,NA
"550","20410","Single egg left in cup, poop in cup indicating hatch of second egg",NA,NA
"551","20411","Nest cup crushed with andts where eggs were. Vehicle tracks directly over nest cup",NA,NA
"552","20412","2 chicks in field photo 7/16 Eggs sechuduled to hatch 1-2 days before check. nest cup and surrounding area devestated by cattle track to the point of being almost unrecognizable.","pretty sure this didn't actually have a camera, but my photos contradict field fate given",NA
"553","20413","Did not float due to heavy coyote predation in area. Cam placed on nest - fate probably U?","Chicks hatched on 9 July. Early morning of 10 July, chicks eaten in cup by Crested Caracara",NA
"554","20414","Single egg sitting in cup for 2 weeks, followed to hatch date in case, but likely failed due to abandonment on over fourth of July weekend. Egg half buried in sand on 20 July",NA,NA
"555","20415","1 chick in cup one crushed egg in cup with fully developed chick. no cattle tracks on nest, perhaps crushed by catttle mouth while grazing","only one image showing possibly a cow walking by nest, but no confirmation for what crushed second egg; approx hatch date - look at pics","is this the nest on camera before nest 935 (2021)? That has many images of bird fighting off ghost crab night of 6/19; chick is moving around on 6/19. ALSO another nest in background"
"556","20416","No signs of predation, abandonment or other failure. Possible poop in cup",NA,NA
"557","20417",NA,NA,NA
"558","20418","Chicks near nest (how old?), Parents performingtail tuck andbroken wing",NA,NA
"559","20419","Did not float due to heavy coyote predation in area. Cam placed on nest - fate probably U?","Coyote on video eating eggs",NA
"560","20420","Peepeing and pecking from inside of eggs. BON July 25th",NA,NA
"561","20421","Eggshell near cup",NA,NA
"562","20422","7/20 - eggs or not? No bird on nest in rain, egg # down from 2 to 1 on nest to last check","unclear why birds left - incubating on 7/18, something triggered the camera that night and birds gone 7/19",NA
"563","20423","Coyote prints and scrapes at nest cup. Either hatched and were eaten or were eaten before hatch",NA,NA
"564","20424","why H? chicks seen?","condensation on camera on night of 7/16-morning of 7/17 makes it difficult to see what happened","hatch seems verey late"
"565","20425","Angry parents nearby, poop in cup.",NA,NA
"566","20426","Cattle track through nest",NA,NA
"567","20427","First egg to disappear must have failed or been depredated, chick in nest cup 6 days later from second egg (WAS CHICK 6 DAYS OLD?)",NA,NA
"568","20428","Second egg predated 14 Jul? possible abandonment after predation",NA,NA
"569","20429","Cattle tracks turned up the ground where nest cup was to the point that stick, cup, and eggs weren't able to be found",NA,NA
"570","20430","Did not float due to heavy coyote predation in area",NA,NA
"571","20431","Did not float due to heavy coyote predation in area",NA,NA
"572","20432","Cattle prints destroyed nest and surrounding area",NA,NA
"573","20433","Cattle prints destroyed nest and surrounding area","Blurry pictures due to moisture prevented pictures of what happened",NA
"574","20434","Coyote prints at nest cup",NA,NA
"575","20435","Cattle tracks through nest",NA,NA
"576","20436","Chick hatched in cup","hard to tell from photos - how old was chick found in nest?",NA
"577","20437","1 Egg recently depredated in nest cup. second egg may still be good. removed bad broken egg. Nest abandoned",NA,NA
"578","20438","Shell near nest WAS A CHICK FOUND?",NA,NA
"579","20439","Ghost crab hole directly in nest cup",NA,NA
"580","20440","Ghost crab hole directly in nest cup",NA,NA
"581","20441","cup and stick washed away after rain",NA,NA
"582","20442","Nest built in middle of high tide line. Nest likely washed out during regular tide, not stormsurge or rain as neither were significant  in the days between checks, and tide line was only ~2 feet further up beach than at previous check",NA,NA
"583","20443","Highly upset parents near nest WAS A CHICK FOUND",NA,NA
"584","20444","chick in cup with second egg in process of hatch",NA,NA
"585","20445","Chick wet in cup",NA,NA
"586","20446","Chick in cup",NA,NA
"587","20447","Chick in cup",NA,NA
"588","20448","Cattle tracks through nest cup",NA,NA
"589","20449","No chicks or sign of egg shells in cup. several other pairs of terns with chicks and eggs nearby so not clear if upset parents are for nest",NA,NA
"590","20450","Shell near cup, second egg was abandoned",NA,NA
"591","20451",NA,NA,NA
"592","20452","Two chicks in cup, one still wet",NA,NA
"593","20453","Poop in cup, 1egg left in cup, possibly still good?",NA,NA
"594","20454","No sign of eggs, chicks or parents anywhere in area after multiple checks on Jul 31st","CAmera filled up memory before fate",NA
"595","20455","Washed away in high tide during storm event",NA,NA
"596","20456","No eggs in cup, no obvious sign of reason",NA,NA
"597","20457",",Chick nearby, probably from nest",NA,NA
"598","20458","Poop in cup",NA,NA
"599","20459","Nest washed out during storm surge from hurricane Hannah",NA,NA
"600","20460","chick seen in field? Bird incubating a few feet away from nest cup on 25th","Chick immediately moved away from nest cup",NA
"601","20461","Nest washed out during storm surge from hurricane Hannah","camera evidence? Nest washed out during storm surge from hurricane Hannah",NA
"602","20462","Nest washed out during storm surge from hurricane Hannah",NA,NA
"603","20463","Nest washed out during storm surge from hurricane Hannah","camera evidence? Nest washed out during storm surge from hurricane Hannah",NA
"604","20464","Nest made below high tide wrack line. Nest washed out during storm surge from hurricane Hannah",NA,NA
"605","20465","Nest washed out during storm surge from hurricane Hannah","Cattle knocked camera over before storm surge or evidence of hatch. Camera picked up by locals",NA
